id,price
54273,23846.963601750394
54274,17626.640072438422
54275,27877.235371765233
54276,65972.42617640721
54277,41054.9834639118
54278,101183.54669302558
54279,48982.47205362378
54280,35677.650953126096
54281,11137.295356917559
54282,48017.70641581838
54283,41411.15731732091
54284,11808.25888389652
54285,49319.765298391816
54286,43597.77386239926
54287,50044.52840385357
54288,89476.60242152077
54289,103368.55240867246
54290,30809.12269830897
54291,13934.926065759508
54292,81582.10540342642
54293,41033.25076444035
54294,10094.243958333731
54295,43018.94208230504
54296,67944.51479180054
54297,20817.448519778063
54298,19508.927164421984
54299,21057.247057720437
54300,36526.69930514987
54301,76397.60653015706
54302,48360.62274393913
54303,61592.68146292829
54304,46146.34154308136
54305,61298.68643204517
54306,27391.513495863117
54307,32791.91240730825
54308,10651.031641309231
54309,27655.228191869093
54310,15481.300827698613
54311,57757.70913264654
54312,12177.087901079802
54313,18277.53884320916
54314,64438.778271175026
54315,78771.63619305106
54316,21785.851665009468
54317,36445.16564605556
54318,56359.441598771606
54319,10129.668969916576
54320,159836.29199078772
54321,61888.571844289276
54322,11280.432907060287
54323,33011.30234860324
54324,65725.82051791123
54325,69195.25845447497
54326,19899.6268760904
54327,55034.17715800134
54328,21615.906183425956
54329,41478.33060228083
54330,20590.41369186413
54331,63655.71103937122
54332,10896.431390962809
54333,57383.746047998255
54334,46394.91694014427
54335,30604.38240537177
54336,14143.553859208378
54337,13991.005658631888
54338,75724.57472079608
54339,313442.4312894627
54340,11388.43966880721
54341,119340.97297462123
54342,55290.04358623259
54343,23729.878189634685
54344,103972.82517981209
54345,13516.087550247492
54346,51341.37978235718
54347,13663.813108023005
54348,27726.255030873588
54349,25634.706589776575
54350,84091.66035324735
54351,21528.696756645673
54352,45279.90574710653
54353,89661.50497939221
54354,34033.92686804316
54355,13264.813029174218
54356,49102.193620292215
54357,47703.97403960697
54358,61341.94768822391
54359,11260.104299142122
54360,39696.64498780303
54361,72215.96756107712
54362,81566.9916813818
54363,100148.38224397489
54364,23045.198126543302
54365,22040.22697326023
54366,66162.21300705137
54367,23766.728051058417
54368,26580.723122518866
54369,24644.0913105234
54370,22034.65577708086
54371,39448.246986545
54372,37624.303378651704
54373,53473.66514168153
54374,27957.360851280097
54375,69910.28288539211
54376,22320.17967386077
54377,42727.5318091956
54378,27967.985276211875
54379,14310.655560895275
54380,11280.432907060287
54381,73910.04534045407
54382,13161.95561260295
54383,80366.57249611706
54384,23846.963601750394
54385,22898.969804086566
